宮越駅,みやこしえき
宮前町停留場,みやまえちょうていりゅうじょう
美流渡駅,みるとえき
武儀駅,むぎえき
恵野駅,めぐみのえき
目梨泊駅,めなしどまりえき
元沢木仮乗降場,もとさわきかりじょうこうじょう
元西仮乗降場,もとにしかりじょうこうじょう
元紋別駅,もともんべつえき
紅葉橋仮乗降場,もみじばしかりじょうこうじょう
森越駅,もりこしえき
文珠駅,もんじゅえき
紋別駅,もんべつえき
焼山駅,やけやまえき
安別駅,やすべつえき
梁川町停留場,やながわちょうていりゅうじょう
矢文駅,やぶみえき
山臼仮乗降場,やまうすかりじょうこうじょう
山軽駅,やまがるえき
山花駅,やまはなえき
弥生駅 (北海道),やよいえき
和駅,やわらえき
夕製前駅,ゆうせいまええき
勇足駅,ゆうたりえき
雄鎮内仮乗降場,ゆうちんないかりじょうこうじょう
雄鉄昭和駅,ゆうてつしょうわえき
優徳駅,ゆうとくえき
夕張本町駅,ゆうばりほんちょうえき
湧別駅,ゆうべつえき
雄別炭山駅,ゆうべつたんざんえき
幸成駅,ゆきなりえき
湯の里駅,ゆのさとえき
湯ノ岱駅,ゆのたいえき
吉堀駅,よしぼりえき
依田駅,よだえき
力昼駅,りきびるえき
陸別駅,りくべつえき
留産駅,るさんえき
礼受駅,れうけえき
労働会館前停留場,ろうどうかいかんまえていりゅうじょう
六郷駅,ろくごうえき
六興駅,ろっこうえき
若里仮乗降場,わかさとかりじょうこうじょう
若菜駅,わかなえき
若松町停留場,わかまつちょうていりゅうじょう
脇方駅,わきかたえき
会津加納駅,あいづかのうえき
会津下館駅,あいづしもだてえき
会津村松駅,あいづむらまつえき
浅内駅,あさないえき
熱塩駅,あつしおえき
荒町駅 (宮城県),あらまちえき
安丹駅,あんたんえき
一番町郵便局前駅,いちばんちょうゆびんきょくまええき
五ツ橋駅,いつつばしえき
岩泉駅,いわいずみえき
岩手大川駅,いわておおかわえき
岩手刈屋駅,いわてかりやえき
岩手和井内駅,いわてわいないえき
鶯沢駅,うぐいすざわえき
鶯沢工業高校前駅,うぐいすざわこうぎょうこうこうまええき
後平駅,うしろたいえき
宇津野駅,うつのえき
浦町駅,うらまちえき
営農大学校前駅,えいのうだいがっこうまええき
海老川駅,えびかわえき
大岡駅,おおおかえき
大岡小前駅,おおかしょうまええき
大畑駅,おおはたえき
押角駅,おしかどえき
小名浜埠頭駅,おなはまふとうえき
大曲駅,おおまがりえき
尾松駅,おまつえき
花京院駅,かきょういんえき
篭谷駅,かごやえき
樺山駅,かばやまえき
上三宮駅,かみさんみやえき
川代駅,かわだいえき
北大山駅,きたおおやまえき
北里大学前駅,きたさとだいがくまええき
京田駅,きょうでんえき
栗駒駅,くりこまえき
栗原田町駅,くりはらたまちえき
工業高校前駅,こうぎょうこうこうまええき
小坂駅,こさかえき
小雪沢駅,こゆきさわえき
沢辺駅,さわべえき
三農校前駅,さんのうこうまええき
自衛隊前駅,じえいたいまええき
塩釜埠頭駅,しおがまふとうえき
茂内駅,しげないえき
七戸駅,しちのへえき
七百駅,しちひゃくえき
将軍野駅,しょうぐんのえき
正津川駅,しょうづがわえき
白岩駅,しらいわえき
新沢駅,しんさわえき
杉橋駅,すぎはしえき
仙台駅前駅,せんだいえきまええき
善宝寺駅,ぜんぽうじえき
大学病院前駅,だいがくびょういんまええき
岱野駅,たいのえき
高清水駅,たかしずえき
田名部駅,たなぶえき
玉川口駅,たまがわぐちえき
中央一丁目駅,ちゅうおういっちょうめえき
中央三丁目駅,ちゅうおうさんちょうめえき
津久毛駅,つくもえき
土崎駅,つちざきえき
坪駅,つぼえき
坪川駅,つぼかわえき
天間林駅,てんまばやしえき
通町駅,とおりちょうえき
鳥矢崎駅,とやさきえき
十和田市駅,とわだしえき
長木沢駅,ながきさわえき
中里駅,なかさとえき
中野駅,なかのえき
七窪駅,ななくぼえき
浪打駅,なみうちえき
錦町駅,にしきちょうえき
西千曳駅,にしちびきえき
西馬音内駅,にしもないえき
二升石駅,にしょういしえき
橋場駅,はしばえき） ※公式には休止だが事実上廃駅
花岡駅,はなおかえき
東岱野駅,ひがしたいのえき
東渚駅,ひがしなぎさえき
ひがし野団地駅,ひがしのだんちえき
深沢駅,ふかさわえき
藤原駅,ふじわらえき
二日町駅,ふつかまちえき
船川港駅,ふながわみなとえき
古里駅,ふるさとえき
古館駅,ふるだてえき
細倉マインパーク前駅,ほそくらマインパークまええき
